Zip Code,Population
90001,54492
90002,44586
90003,58198
90004,67852
90005,43019
90006,62784
90007,45025
90008,30852
15140,90016
46984,90017
20692,90018
47143,90019
67520,90020
90022,68701
90023,47487
90024,44150
90025,41175
90026,73686
90027,48727
90028,30568
90029,41713
90031,38415
90032,46960
90033,49431
90034,58218
90035,27799
90036,32901
90037,56709
90038,32562
90039,29310
27866,90042
64672,90043
44764,90044
87383,90045
39334,90046
49839,90047
47107,90048
21739,90049
90057,44004
38128,90061
24511,90062
29299,90063
55668,90064
24505,90065
47534,90066
90068,21728
90069,20408
10470,90201
90212,11355
90220,47305
90221,51387
90222,29825
90230,31963
90232,15195
90240,24908
90241,40152
90242,42459
90245,16041
90247,47758
26442,90250
93315,90254
18693,90255
78114,90260
33300,90262
90265,19630
90266,33758
90270,28094
90272,22548
90274,24979
90275,41263
90277,34191
90278,37322
90280,96267
31021,90292
18058,90293
11264,90301
37527,90302
30779,90303
27778,90304
28680,90305
90402,11509
90403,23559
90404,19975
90405,26099
90501,40705
90502,17058
90503,41979
90504,31678
90505,34873
90601,32050
90602,26265
90603,19109
90604,37887
90605,38181
90606,32148
90620,44442
90621,33528
90623,15505
90630,47344
90631,67354
90638,47568
90640,62425
90650,103214
90660,63288
90670,16271
90680,29694
90701,16398
90703,51556
72893,90710
24660,90712
30173,90713
27563,90715
20890,90716
14852,90717
21065,90720
21343,90723
55306,90731
58639,90732
21279,90740
53323,90745
55486,90746
25566,90802
38427,90803
31352,90804
43467,90805
91664,90806
49647,90807
31556,90808
37417,90810
35656,90813
63136,90814
19034,90815
91001,36243
91006,30028
91007,30933
91010,27414
91011,20200
91016,41067
10558,91030
23984,91040
18752,91042
26753,91101
16812,91103
27891,91104
38460,91105
10253,91106
23742,91107
32369,91108
13158,91201
23981,91202
21990,91203
14493,91204
17015,91205
41390,91206
91208,16910
91214,29110
91301,25303
91302,23661
91303,23519
91304,49242
91306,43857
91307,23637
91311,35325
91316,27614
91320,37779
91321,30742
91324,25751
91325,32307
91326,28067
91331,97318
91335,68018
91340,33389
91342,81986
91343,57017
91344,48867
91345,17112
91350,40077
91351,59259
91352,46639
91354,17846
91355,24977
91356,27424
91360,42526
91361,18735
91362,33057
91364,25988
91367,36123
91377,14814
22177,91401
40376,91402
66249,91403
22085,91405
51348,91406
50047,91411
23646,91423
29387,91436
13129,91501
18112,91502
11517,91504
25882,91505
29245,91506
18539,91601
36625,91602
16996,91604
26157,91605
57146,91606
45358,91607
27453,91701
39064,91702
57775,91706
76890,91709
66754,91710
75319,91711
34716,91722
33817,91723
17554,91724
25068,91730
51970,91731
30211,91732
62660,91733
45645,91737
23079,91739
12937,91740
25135,91741
91744,84965
91745,53686
91746,30802
91748,46342
91750,35530
91752,18980
91754,33280
91755,26933
56280,91762
54254,91763
34447,91764
49474,91765
46532,91766
69974,91767
46626,91768
36057,91770
61623,91773
33878,91775
23444,91776
38041,91780
32718,91784
23331,91786
48827,91789
45118,91790
44099,91791
30458,91792
31622,91801
54382,91803
30635,91901
16486,91902
74025,91911
71126,91913
91932,26662
91941,44652
91942,24005
91945,24961
10375,92008
35582,92009
43161,92014
13945,92019
40995,92020
55277,92021
61872,92024
47126,92025
49281,92026
43436,92027
48690,92028
42239,92029
92037,42617
92040,42277
92054,98239
92056,52895
92057,46893
47969,92065
92071,53510
92075,12173
14575,92083
62036,92084
27505,92102
47140,92103
30202,92104
47689,92105
73006,92106
18525,92107
27959,92108
11650,92109
46086,92110
24169,92111
46828,92113
47431,92114
66838,92115
56887,92116
33083,92117
51213,92118
24093,92119
21866,92120
92122,34902
92123,25232
92124,30206
92126,74232
92127,20046
92128,42733
92129,47224
92130,28201
92131,29283
92139,36351
92154,68776
92173,28488
92201,56307
92211,19702
92220,25859
92223,17721
92225,24659
92227,23394
92234,43141
92236,23170
92253,23971
29340,92262
24924,92264
92270,12465
17178,92278
92301,18980
92307,31876
92308,28819
92311,31293
92313,11024
92316,25995
52202,92325
82630,92336
54586,92337
68515,92346
92371,12463
31230,92374
36675,92376
75882,92377
63235,92394
92404,53636
92405,24644
92407,49355
92408,12149
92410,44556
92411,23146
92501,18999
92503,71678
92504,46550
92505,38446
92506,42425
92507,48649
92508,17147
92509,63999
92543,29687
92544,39264
92545,25694
92551,22983
92553,61205
92555,12743
92557,46214
36149,92563
92570,36817
92571,26357
21349,92584
92586,18161
92587,13151
25655,92592
46171,92595
27369,92606
17621,92610
10936,92612
41062,92614
92620,26419
13422,92626
48207,92627
62069,92629
27730,92630
59176,92646
56517,92647
58764,92648
42663,92649
32304,92651
25206,92653
92656,41237
22133,92672
34946,92673
15297,92675
92677,62103
92679,32268
92683,88230
92688,42193
92691,46371
92692,46227
58157,92703
70011,92704
91188,92705
44117,92706
37879,92707
62634,92708
54548,92780
55062,92782
17494,92801
60553,92802
45086,92804
81333,92805
68802,92806
34398,92807
36301,92808
19629,92821
92831,34592
92832,24502
92833,46105
92835,21157
92840,50641
92841,31428
92843,43491
92844,23481
92845,15878
92860,22443
18058,92866
15396,92867
40915,92868
23172,92869
37916,92870
48170,92879
44875,92880
16998,92881
21911,92882
60294,92883
13188,92886
39458,92887
20893,93001
32899,93003
46894,93004
27381,93010
42853,93012
24945,93013
17409,93015
16013,93021
93023,21633
93030,79736
93033,77791
93035,25322
25634,93060
32511,93063
49027,93065
31727,93103
20893,93105
25771,93108
12741,93109
10986,93110
15757,93111
16477,93117
16206,93204
18036,93212
23506,93215
93221,13333
93241,15364
30419,93247
93250,10781
93263,15177
93274,56101
44741,93280
93291,36718
93292,30395
93301,12963
93304,44588
93305,35643
93306,53481
93307,59195
93308,44915
93309,58632
93311,20440
93312,40836
93313,25126
93401,27047
93402,14859
93405,31982
93420,24499
93422,29539
93442,10909
93444,15405
30540,93455
37364,93458
93514,13309
93534,35109
93535,57794
93536,49309
67232,93551
34045,93552
29782,93560
14931,93561
93610,19391
93611,46858
93612,33856
93630,14062
93631,14088
29124,93637
28434,93638
93648,12587
93654,25923
93662,26213
93701,13858
93702,47999
93703,31180
93704,26580
93705,35451
93706,35790
93710,29337
93711,36274
93720,45087
60889,93725
21010,93726
39148,93727
54701,93728
16346,93901
35739,93905
58548,93906
53946,93907
22292,93908
93927,14204
93933,21759
93940,32857
93950,15449
93955,38244
93960,13003
94010,40346
94014,47453
94015,63337
94019,17929
94022,18486
94024,21496
94025,39062
94030,20350
94040,32143
94041,13483
94043,27822
94044,38885
35737,94062
25569,94063
32368,94065
10658,94066
39566,94070
94080,60599
94086,64010
94087,50070
94089,16985
94102,28998
94103,23036
94107,17372
94108,13723
94109,56330
94110,74641
73117,94114
30587,94115
33122,94116
42959,94117
38756,94118
38955,94121
42476,94122
55504,94123
22920,94124
33177,94127
27906,94132
26297,94133
26831,94134
40137,94301
16198,94303
94305,13386
94306,24492
94401,32488
94402,23393
94403,37926
94404,31882
94501,58555
94502,13996
94506,19777
94507,15187
90891,94510
26577,94514
94517,14239
94518,27394
94519,18650
94520,36186
94521,39888
94523,32685
32873,94530
23141,94533
94536,66543
94538,56126
94539,46917
94541,60274
94542,11147
94544,72993
94545,27311
94546,41698
94547,22479
94549,23996
94550,75929
94552,13212
94553,46677
94555,33883
94556,16510
94558,63947
94559,26894
94560,42491
94561,27607
94563,17964
94564,16717
94565,78816
94566,36669
94577,41871
94578,36568
94579,19815
94580,26240
94583,44078
94585,39279
66472,94588
28568,94589
42209,94590
37218,94591
94595,18024
94596,40917
94598,26022
54876,94602
28900,94603
31392,94605
42854,94606
41876,94607
21054,94608
24589,94609
21097,94610
29964,94611
36517,94612
11702,94618
15438,94619
24518,94621
30751,94702
15638,94703
19763,94704
21205,94705
12448,94706
15882,94707
11889,94708
10737,94709
94801,28450
94803,25399
94804,39089
94805,13984
94806,55720
94901,40239
94903,28403
94904,12010
94920,13065
94928,42544
94941,28727
94945,16429
24741,94949
31930,94954
94960,16849
94965,11213
95008,44976
95014,54431
49968,95023
47514,95030
13290,95032
24443,95033
10172,95035
62848,95037
95050,36349
95051,52986
95054,13031
95060,43192
95062,36631
95066,14574
95070,30589
81141,95110
18197,95111
57748,95112
95116,51706
95117,29914
95118,31926
95119,10155
95120,37090
95121,37127
95122,59841
95123,59632
95124,45257
95125,46185
95126,27023
95127,60620
95128,32804
95129,37570
95130,13481
95131,26389
95132,40568
95133,26032
15798,95136
36944,95138
95203,16357
95204,30476
95205,34138
95206,49657
95207,49965
95209,30814
95210,40611
23789,95219
95240,45755
95242,22073
95252,11266
95301,27808
95320,11474
95334,12672
36738,95337
19867,95338
10226,95340
23100,95350
52872,95351
47536,95354
27135,95355
47613,95356
26055,95357
13343,95358
95361,25384
95363,15536
95366,12646
95367,16525
95368,12466
95380,40545
95382,24708
95388,11463
36125,95403
40270,95404
35057,95405
22250,95407
30876,95409
95422,13485
95448,17979
95453,11180
95472,31266
95476,34314
95482,30988
95490,13472
95492,23701
95503,23570
95519,15921
95521,19596
18197,95603
24944,95605
58830,95610
18529,95621
95624,38534
95630,51855
15286,95650
95660,32202
95661,25173
95662,32040
95667,34146
95670,49729
95677,21510
95678,30614
63157,95688
95695,38547
20675,95747
25418,95758
47065,95762
22028,95765
15494,95776
15022,95814
16599,95815
25355,95816
16164,95817
14966,95818
21313,95819
15975,95820
37031,95821
35426,95822
44683,95823
72199,95824
30580,95825
30715,95826
38818,95827
19611,95828
54880,95829
95831,42832
34894,95841
20993,95842
31373,95843
36432,95864
23362,95901
95926,35808
95928,32848
95945,23990
95954,11168
95963,13706
95965,17782
95966,28382
95973,26971
95991,34967
95993,27786
96001,31586
96002,30338
96003,41476
96021,13840
96022,12348
96080,26438
33038,96161
